"x","M0","Me","y"
0,1.5,3,0
0.1151,1.5,3,0.04
0.2329,1.5,3,0.08
0.3535,1.5,3,0.12
0.4772,1.5,3,0.16
0.6039,1.5,3,0.2
0.7338,1.5,3,0.24
0.8671,1.5,3,0.28
1.0038,1.5,3,0.32
1.1442,1.5,3,0.36
1.2882,1.5,3,0.4
1.4362,1.5,3,0.44
1.5881,1.5,3,0.48
1.7442,1.5,3,0.52
1.9045,1.5,3,0.56
2.0693,1.5,3,0.6
2.2388,1.5,3,0.63
2.413,1.5,3,0.67
2.5921,1.5,3,0.71
2.7763,1.5,3,0.75
2.9659,1.5,3,0.79
3.1609,1.5,3,0.83
3.3615,1.5,3,0.87
3.5681,1.5,3,0.91
3.7807,1.5,3,0.94
3.9996,1.5,3,0.98
4.225,1.5,3,1.02
4.4571,1.5,3,1.05
4.6962,1.5,3,1.09
4.9425,1.5,3,1.13
5.1963,1.5,3,1.16
5.4578,1.5,3,1.19
5.7274,1.5,3,1.23
6.0052,1.5,3,1.26
6.2916,1.5,3,1.29
6.5869,1.5,3,1.32
6.8914,1.5,3,1.35
7.2055,1.5,3,1.38
7.5295,1.5,3,1.4
7.8637,1.5,3,1.43
8.2085,1.5,3,1.45
8.5644,1.5,3,1.47
8.9316,1.5,3,1.49
9.3107,1.5,3,1.51
9.702,1.5,3,1.53
10.1061,1.5,3,1.54
10.5233,1.5,3,1.55
10.9542,1.5,3,1.56
11.3993,1.5,3,1.56
11.8592,1.5,3,1.57
0,1.5,3.1,0
0.1245,1.5,3.1,0.04
0.2522,1.5,3.1,0.09
0.3832,1.5,3.1,0.14
0.5178,1.5,3.1,0.18
0.656,1.5,3.1,0.23
0.798,1.5,3.1,0.27
0.9439,1.5,3.1,0.32
1.0939,1.5,3.1,0.36
1.2482,1.5,3.1,0.41
1.4069,1.5,3.1,0.46
1.5703,1.5,3.1,0.5
1.7384,1.5,3.1,0.55
1.9114,1.5,3.1,0.6
2.0897,1.5,3.1,0.64
2.2732,1.5,3.1,0.69
2.4623,1.5,3.1,0.73
2.6572,1.5,3.1,0.78
2.8581,1.5,3.1,0.83
3.0651,1.5,3.1,0.87
3.2786,1.5,3.1,0.92
3.4987,1.5,3.1,0.97
3.7257,1.5,3.1,1.01
3.9599,1.5,3.1,1.06
4.2016,1.5,3.1,1.1
4.451,1.5,3.1,1.15
4.7084,1.5,3.1,1.19
4.9741,1.5,3.1,1.23
5.2485,1.5,3.1,1.28
5.5318,1.5,3.1,1.32
5.8244,1.5,3.1,1.36
6.1266,1.5,3.1,1.4
6.4388,1.5,3.1,1.44
6.7615,1.5,3.1,1.48
7.0949,1.5,3.1,1.52
7.4396,1.5,3.1,1.56
7.7959,1.5,3.1,1.59
8.1642,1.5,3.1,1.62
8.5452,1.5,3.1,1.66
8.9392,1.5,3.1,1.69
9.3467,1.5,3.1,1.72
9.7683,1.5,3.1,1.74
10.2046,1.5,3.1,1.77
10.6561,1.5,3.1,1.79
11.1234,1.5,3.1,1.81
11.6072,1.5,3.1,1.83
12.1081,1.5,3.1,1.84
12.6268,1.5,3.1,1.85
13.164,1.5,3.1,1.86
13.7206,1.5,3.1,1.86
0,1.5,3.2,0
0.134,1.5,3.2,0.05
0.2718,1.5,3.2,0.1
0.4134,1.5,3.2,0.15
0.5591,1.5,3.2,0.2
0.709,1.5,3.2,0.26
0.8634,1.5,3.2,0.31
1.0224,1.5,3.2,0.36
1.1862,1.5,3.2,0.41
1.355,1.5,3.2,0.47
1.529,1.5,3.2,0.52
1.7084,1.5,3.2,0.57
1.8935,1.5,3.2,0.63
2.0845,1.5,3.2,0.68
2.2815,1.5,3.2,0.73
2.485,1.5,3.2,0.79
2.695,1.5,3.2,0.84
2.9119,1.5,3.2,0.9
3.136,1.5,3.2,0.95
3.3675,1.5,3.2,1
3.6067,1.5,3.2,1.06
3.8539,1.5,3.2,1.11
4.1095,1.5,3.2,1.17
4.3738,1.5,3.2,1.22
4.6471,1.5,3.2,1.27
4.9299,1.5,3.2,1.33
5.2223,1.5,3.2,1.38
